,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,GRAN CANAL 1,Arturo Camarena Torres,10.46,M,2026-04-09,ASR OPEN,https://youtube.com/shorts/_mPrNVXO2yI,Ryan Ford,,,,,,,,,,,,
,CHAPU 1,Joey Jepsen,13.75,M,2026-04-09,ASR OPEN,https://youtube.com/shorts/P7mUyiy8OEc,Ryan Ford,,,,,,,,,,,,
,FUNDA,Luis Faz,19.76,M,2026-04-07,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,EXPO 2,Joey Jepsen,7.38,M,2026-04-06,,https://youtube.com/shorts/u39Za4EB9SI,Ryan Ford,,,,,,,,,,,,
,EXPO 1,Taylor Carpenter,21.67,F,2026-04-06,ASR OPEN,https://youtube.com/shorts/v1W7NKFHxYw,Ryan Ford,,,,,,,,,,,,
,EXPO 1,Max Boice,15.63,M,2026-04-06,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,EXPO 1,Ryan Ford,23.65,M,2026-04-06,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,EXPO 1,Joey Jepsen,13.44,M,2026-04-06,ASR OPEN,https://youtube.com/shorts/wY1yWdYvFro,Ryan Ford,,,,,,,,,,,,
,ACC,Kyle Sherk,19.50,M,2026-04-05,ASR OPEN,,,,,,,,,,,,,,
,ACC,Vanessa Sherk,29.13,F,2026-04-05,ASR OPEN,,,,,,,,,,,,,,
,POINT GREY,Benati Louvouezo,12.10,M,2026-04-05,ASR OPEN,,,,,,,,,,,,,,
,UMC,Amy Jepsen,23.42,F,2026-04-05,,,,,,,,,,,,,,,
,FUNDA,Marlene Coronel,26.25,F,2026-04-04,ASR OPEN,https://www.instagram.com/p/DWxg_x1EeJN/,Ryan Ford,,,,,,,,,,,,
,FUNDA,Arturo Camarena Torres,19.73,M,2026-04-04,ASR OPEN,https://www.instagram.com/p/DWxNalLjlV0/,Ryan Ford,,,,,,,,,,,,
,FUNDA,Luis Alberto García,27.96,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Jorge Armando Sanchez,23.43,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Maukour,24.39,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Isaac,25.79,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Erick Saenz,26.04,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Cheko,22.21,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Lalo Santiago,26.45,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Mau Vertiz,21.46,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Emilia Francois,40.16,F,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Leon van der Zouwen,18.34,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Taylor Carpenter,25.14,F,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Max Boice,22.20,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Joey Jepsen,17.71,M,2026-04-04,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Taylor Carpenter,27.21,F,2026-04-02,ASR OPEN,https://youtube.com/shorts/aTKkC6UVlPI,Ryan Ford,,,,,,,,,,,,
,FUNDA,Max Boice,22.86,M,2026-04-02,ASR OPEN,,Ryan Ford,,,,,,,,,,,,
,FUNDA,Joey Jepsen,19.60,M,2026-04-02,ASR OPEN,https://youtube.com/shorts/ThkpzLI1gIc,Ryan Ford,,,,,,,,,,,,
,HILL,Joey Jepsen,14.66,M,2026-03-29,ASR OPEN,,,,,,,,,,,,,,
,HILL,Di Li,86.07,M,2026-03-29,ASR OPEN,,Amy Jepsen,,,,,,,,,,,,
,LANIKAI,Ryan Ford,19.78,M,2026-03-27,ASR OPEN,,Taylor Carpenter,,,,,,,,,,,,
,LANIKAI,Taylor Carpenter,18.28,F,2026-03-27,ASR OPEN,https://youtube.com/shorts/UxTDBQhU2nI,Ryan Ford,,,,,,,,,,,,
,WILL VILL,Vanessa Sherk,24.06,F,2026-03-21,,,Kyle Sherk,,,,,,,,,,,,
,WILL VILL,Kyle Sherk,14.05,M,2026-03-21,,,Vanessa Sherk,,,,,,,,,,,,
,TABLE MESA,Joey Jepsen,7.81,M,2026-03-21,ASR OPEN,https://youtube.com/shorts/xpqDMbTc_n0,,,,,,,,,,,,✅,
,TABLE MESA,Vanessa Sherk,25.51,F,2026-03-21,ASR OPEN,,Kyle Sherk,,,,,,,,,,,,
,TABLE MESA,Kyle Sherk,14.71,M,2026-03-21,ASR OPEN,,Vanessa Sherk,,,,,,,,,,,,
,MINES 2,Kyle Sherk,19.66,M,2026-03-14,,,Vanessa Sherk,,,,,,,,,,,,
,MINES 2,Joey Jepsen,10.60,M,2026-03-14,,https://youtube.com/shorts/kDlRBFf_owQ,,,,,,,,,,,,✅,
,MINES 1,Kyle Sherk,17.82,M,2026-03-14,ASR OPEN,,Vanessa Sherk,,,,,,,,,,,,
,MINES 1,Vanessa Sherk,30.92,F,2026-03-14,ASR OPEN,,Kyle Sherk,,,,,,,,,,,,
,MINES 1,Amy Jepsen,33.73,F,2026-03-14,ASR OPEN,,,,,,,,,,,,,,
,MINES 1,Joey Jepsen,9.29,M,2026-03-14,ASR OPEN,https://youtube.com/shorts/TBSa1xYPvws,,,,,,,,,,,,✅,
,WALLACE 1,Kyle Sherk,23.32,M,2026-03-12,,,Vanessa Sherk,,,,,,,,,,,,
,TABLE MESA,Amy Jepsen,28.13,F,2026-03-11,ASR OPEN,,,,,,,,,,,,,,
,MCILVOY,Amy Jepsen,23.90,F,2026-03-04,ASR OPEN,,Joey Jepsen,,,,,,,,,,,,
,MCILVOY,Joey Jepsen,8.18,M,2026-03-04,ASR OPEN,https://youtube.com/shorts/SCed5fBcuhc,Amy Jepsen,,,,,,,,,,,✅,
,FESTIVAL,Kyle Sherk,27.43,M,2026-03-01,,,,,,,,,,,,,,,
,FESTIVAL,Vanessa Sherk,48.00,F,2026-03-01,,,,,,,,,,,,,,,
,WAIPI'O,Taylor Carpenter,13.95,F,2026-02-28,,https://youtube.com/shorts/CIEgXS01Teg,Ryan Ford,,,,,,,,,,,✅,
,BELMAR,Joey Jepsen,12.36,M,2026-02-25,,https://youtube.com/shorts/K-JsEe0az3g,Amy Jepsen,,,,,,,,,,,✅,
,BELMAR,Amy Jepsen,45.20,F,2026-02-25,,,Joey Jepsen,,,,,,,,,,,,
,PAINTED STAIRS,Vanessa Sherk,40.38,F,2026-02-24,,,Kyle Sherk,,,,,,,,,,,,
,PAINTED STAIRS,Kyle Sherk,27.22,M,2026-02-24,,,Vanessa Sherk,,,,,,,,,,,,
,UU3,Ashton Davis,19.25,M,2026-02-22,,,Benati Louvouezo,,,,,,,,,,,,
,GALLIVAN,Ashton Davis,22.76,M,2026-02-22,,,Benati Louvouezo,,,,,,,,,,,,
,GALLIVAN,Benati Louvouezo,11.89,M,2026-02-22,,https://www.instagram.com/p/DVF7oleDtE_/,Ashton Davis,,,,,,,,,,,✅,
,RINO,Vanessa Sherk,24.82,F,2026-02-22,,,,,,,,,,,,,,,
,CRI CRI,Leon van der Zouwen,11.19,M,2026-02-21,,https://youtube.com/shorts/cXF2T4vIxf0,,,,,,,,,,,,,
,COLISEO,Jean Sánchez,21.47,M,2026-02-15,,,Nate Rolon,,,,,,,,,,,,
,BAUTISTA,Nate Rolon,13.68,M,2026-02-15,,https://www.instagram.com/p/DU0-U8CDq46/,Jean Sánchez,,,,,,,,,,,,
,BAUTISTA,Jean Sánchez,11.96,M,2026-02-15,,https://www.instagram.com/p/DU3Sh1dkYRi/,Nate Rolon,,,,,,,,,,,✅,
,SHERWOOD,Justin Taylor,9.92,M,2026-02-14,,https://www.instagram.com/p/DUwoz-oj0Dk/,,,,,,,,,,,,✅,
,ACC,Joey Jepsen,10.28,M,2026-02-14,,https://www.instagram.com/p/DU9bRS1gZgD/,Amy Jepsen,,,,,,,,,,,✅,
,CPRC 1,Autumn Goodridge,32.95,F,2026-02-07,,,,,,,,,,,,,,,
,CPRC 1,Rob Schihl,19.03,M,2026-02-07,,,,,,,,,,,,,,,
,UH2,Ryan Ford,9.47,M,2026-02-02,,https://www.instagram.com/p/DUT6n0GEkW4/,Taylor Carpenter,,,,,,,,,,,,
,PCHS,Roland Turner,9.87,M,2026-01-31,,https://www.instagram.com/p/DUctERAj0ae/,Ryan Ford,,,,,,,,,,,✅,
